"ACTIVITY_ID","CASE_NUMBER","ENF_CONCLUSION_ID","SEP_CATEGORY_CODE","SEP_CATEGORY_DESC","SEP_ID","SEP_TEXT","SEP_AMT"
"396","01-1995-0093","362","ETM","Pollution Prevention/Equipment-Technology Modification","32",,
"397","01-1995-0094","363","ECP","Environmental Compliance Promotion","33",,
"406","01-1995-0103","372","PPO","Pollution Prevention","34",,
"406","01-1995-0103","372","ETM","Pollution Prevention/Equipment-Technology Modification","34",,
"417","01-1995-0115","382","PPO","Pollution Prevention","35",,
"417","01-1995-0115","382","IHO","Pollution Prevention/Improved Housekeeping/O&M, Training, Inventory Control","35",,
"417","01-1995-0115","382","ETM","Pollution Prevention/Equipment-Technology Modification","35",,
"424","01-1995-0122","389","AAD","Assessments and Audits","36",,
"424","01-1995-0122","389","OTH","Other Program Specific SEP","36",,
"426","01-1995-0124","391","PPO","Pollution Prevention","37","COOLING WATER REUSE PROJECT TO ELIMINATE A WASTEWATER     STREAM AT BIDDEFORD FACILITY BY REUSE OF SPENT NON CONTACT  WATER FOR DYEING PROCESS.                                   ",
"426","01-1995-0124","391","IPR","Pollution Prevention/In-Process Recycling","37","COOLING WATER REUSE PROJECT TO ELIMINATE A WASTEWATER     STREAM AT BIDDEFORD FACILITY BY REUSE OF SPENT NON CONTACT  WATER FOR DYEING PROCESS.                                   ",
"426","01-1995-0124","391","ETM","Pollution Prevention/Equipment-Technology Modification","37","COOLING WATER REUSE PROJECT TO ELIMINATE A WASTEWATER     STREAM AT BIDDEFORD FACILITY BY REUSE OF SPENT NON CONTACT  WATER FOR DYEING PROCESS.                                   ",
"426","01-1995-0124","391","PPM","Pollution Prevention/Process-Procedure Modification","37","COOLING WATER REUSE PROJECT TO ELIMINATE A WASTEWATER     STREAM AT BIDDEFORD FACILITY BY REUSE OF SPENT NON CONTACT  WATER FOR DYEING PROCESS.                                   ",
"427","01-1995-0125","392","PPO","Pollution Prevention","38",,
"427","01-1995-0125","392","ETM","Pollution Prevention/Equipment-Technology Modification","38",,
"429","01-1995-0127","394","PPO","Pollution Prevention","39",,
"429","01-1995-0127","394","ETM","Pollution Prevention/Equipment-Technology Modification","39",,
"431","01-1995-0129","396","EPP","Emergency Planning and Preparedness","40",,
"438","01-1996-0006","402","PPO","Pollution Prevention","41",,
"438","01-1996-0006","402","PRD","Pollution Reduction","41",,
"438","01-1996-0006","402","ERP","Environmental Restoration and Protection","41",,
"438","01-1996-0006","402","ETM","Pollution Prevention/Equipment-Technology Modification","41",,
"473","01-1996-0041","437","PPO","Pollution Prevention","42","INSTALL PROCESS MODIFICATIONS TO REDUCE WASTEWATER        DISCHARGES AND RECYCLE PROCESS WATER.                       ",
"473","01-1996-0041","437","IPR","Pollution Prevention/In-Process Recycling","42","INSTALL PROCESS MODIFICATIONS TO REDUCE WASTEWATER        DISCHARGES AND RECYCLE PROCESS WATER.                       ",
"473","01-1996-0041","437","ETM","Pollution Prevention/Equipment-Technology Modification","42","INSTALL PROCESS MODIFICATIONS TO REDUCE WASTEWATER        DISCHARGES AND RECYCLE PROCESS WATER.                       ",
"473","01-1996-0041","437","PPM","Pollution Prevention/Process-Procedure Modification","42","INSTALL PROCESS MODIFICATIONS TO REDUCE WASTEWATER        DISCHARGES AND RECYCLE PROCESS WATER.                       ",
"481","01-1996-0050","445","PPO","Pollution Prevention","43","HAZARDOUS WASTE MANAGEMENT TRAINING                       ",
"481","01-1996-0050","445","IHO","Pollution Prevention/Improved Housekeeping/O&M, Training, Inventory Control","43","HAZARDOUS WASTE MANAGEMENT TRAINING                       ",
"482","01-1996-0051","446","PPO","Pollution Prevention","44","HAZARDOUS WASTE TRAINING                                  ",
"482","01-1996-0051","446","IHO","Pollution Prevention/Improved Housekeeping/O&M, Training, Inventory Control","44","HAZARDOUS WASTE TRAINING                                  ",
"483","01-1996-0052","447","ECP","Environmental Compliance Promotion","45",,"30179"
"483","01-1996-0052","447","OTH","Other Program Specific SEP","45",,
"486","01-1996-0056","450","PBH","Public Health","46","CHEMICAL RESISTANT COATING ON FLOOR OF PROCESSING AREA.   ","34300"
"486","01-1996-0056","450","ERP","Environmental Restoration and Protection","46","CHEMICAL RESISTANT COATING ON FLOOR OF PROCESSING AREA.   ",
"498","01-1996-0068","460","ERP","Environmental Restoration and Protection","47","PURCHASE OF CONSERVATION EASEMENT/PROPERTIES (WETLANDS) INPLADSTINE RIVER.                                            ","525000"
"520","01-1996-0090","480","ERP","Environmental Restoration and Protection","48","CONDUCT A PHASE I AND PHASE II SITE ASSESSMENT ON CITY    OWNED PROPERTY AND CONTRIBUTE TO COST OF REMEDIATION        NECESSITATED BY SITE ASSESSMENT. CITY AGREES TO ALLOW       RE-DEVELOPMENT OF SITE AS NECESSARY.                        ",
"520","01-1996-0090","480","AAD","Assessments and Audits","48","CONDUCT A PHASE I AND PHASE II SITE ASSESSMENT ON CITY    OWNED PROPERTY AND CONTRIBUTE TO COST OF REMEDIATION        NECESSITATED BY SITE ASSESSMENT. CITY AGREES TO ALLOW       RE-DEVELOPMENT OF SITE AS NECESSARY.                        ",
"520","01-1996-0090","480","OTH","Other Program Specific SEP","48","CONDUCT A PHASE I AND PHASE II SITE ASSESSMENT ON CITY    OWNED PROPERTY AND CONTRIBUTE TO COST OF REMEDIATION        NECESSITATED BY SITE ASSESSMENT. CITY AGREES TO ALLOW       RE-DEVELOPMENT OF SITE AS NECESSARY.                        ",
"535","01-1996-0105","494","PPO","Pollution Prevention","49","VACUUM BAGGING SYSTEMS INSTALLED TO ENCAPSULATE BOAT PARTSAFTER RESIN APPLICATION DURING CURING PROCESS. REDUCED      RESIN USAGE AND EMISSIONS OF STYRENE MONOMER.               ",
"535","01-1996-0105","494","PRD","Pollution Reduction","49","VACUUM BAGGING SYSTEMS INSTALLED TO ENCAPSULATE BOAT PARTSAFTER RESIN APPLICATION DURING CURING PROCESS. REDUCED      RESIN USAGE AND EMISSIONS OF STYRENE MONOMER.               ",
"535","01-1996-0105","494","ETM","Pollution Prevention/Equipment-Technology Modification","49","VACUUM BAGGING SYSTEMS INSTALLED TO ENCAPSULATE BOAT PARTSAFTER RESIN APPLICATION DURING CURING PROCESS. REDUCED      RESIN USAGE AND EMISSIONS OF STYRENE MONOMER.               ",
"535","01-1996-0105","494","PPM","Pollution Prevention/Process-Procedure Modification","49","VACUUM BAGGING SYSTEMS INSTALLED TO ENCAPSULATE BOAT PARTSAFTER RESIN APPLICATION DURING CURING PROCESS. REDUCED      RESIN USAGE AND EMISSIONS OF STYRENE MONOMER.               ",
"538","01-1996-0108","497","PPO","Pollution Prevention","50","SEP#1 REPLACE VAPOR DEGREASER WITH NON SOLVENT PARTS        CLEANING SYSTEM TO ELEIMINATE TRICHLOROETHYLENE USEAGE.     ",
"538","01-1996-0108","497","PRD","Pollution Reduction","50","SEP#1 REPLACE VAPOR DEGREASER WITH NON SOLVENT PARTS        CLEANING SYSTEM TO ELEIMINATE TRICHLOROETHYLENE USEAGE.     ",
"538","01-1996-0108","497","PPM","Pollution Prevention/Process-Procedure Modification","50","SEP#1 REPLACE VAPOR DEGREASER WITH NON SOLVENT PARTS        CLEANING SYSTEM TO ELEIMINATE TRICHLOROETHYLENE USEAGE.     ",
"538","01-1996-0108","497","ETM","Pollution Prevention/Equipment-Technology Modification","50","SEP#1 REPLACE VAPOR DEGREASER WITH NON SOLVENT PARTS        CLEANING SYSTEM TO ELEIMINATE TRICHLOROETHYLENE USEAGE.     ",
"576","01-1997-0017","533","ERP","Environmental Restoration and Protection","51","DISPOSE OF THREE TRANSFORMERS CONTAINING PCBS               ",
"576","01-1997-0017","533","PRD","Pollution Reduction","51","DISPOSE OF THREE TRANSFORMERS CONTAINING PCBS               ",
"611","01-1997-0053","566","PPO","Pollution Prevention","52",,
"611","01-1997-0053","566","AAD","Assessments and Audits","52",,
"611","01-1997-0053","566","IPR","Pollution Prevention/In-Process Recycling","52",,
"611","01-1997-0053","566","PPM","Pollution Prevention/Process-Procedure Modification","52",,
"611","01-1997-0053","566","IHO","Pollution Prevention/Improved Housekeeping/O&M, Training, Inventory Control","52",,
"612","01-1997-0054","567","PPO","Pollution Prevention","53","WILL TRAIN EMPLOYEES OF ALL NEW ENGLAND VA MEDICAL CENTER INHAZARDOUS WASTE MANAGEMENT AND WILL INCLUDE POLLUTION       PREVENTION.                                                 ",
"612","01-1997-0054","567","AAD","Assessments and Audits","53","WILL TRAIN EMPLOYEES OF ALL NEW ENGLAND VA MEDICAL CENTER INHAZARDOUS WASTE MANAGEMENT AND WILL INCLUDE POLLUTION       PREVENTION.                                                 ",
"612","01-1997-0054","567","ECP","Environmental Compliance Promotion","53","WILL TRAIN EMPLOYEES OF ALL NEW ENGLAND VA MEDICAL CENTER INHAZARDOUS WASTE MANAGEMENT AND WILL INCLUDE POLLUTION       PREVENTION.                                                 ",
"612","01-1997-0054","567","IHO","Pollution Prevention/Improved Housekeeping/O&M, Training, Inventory Control","53","WILL TRAIN EMPLOYEES OF ALL NEW ENGLAND VA MEDICAL CENTER INHAZARDOUS WASTE MANAGEMENT AND WILL INCLUDE POLLUTION       PREVENTION.                                                 ",
"613","01-1997-0055","568","PPO","Pollution Prevention","54",,
"613","01-1997-0055","568","PRD","Pollution Reduction","54",,
"613","01-1997-0055","568","RMS","Pollution Prevention/Raw Materials Substitution","54",,
"613","01-1997-0055","568","PPM","Pollution Prevention/Process-Procedure Modification","54",,
"613","01-1997-0055","568","IHO","Pollution Prevention/Improved Housekeeping/O&M, Training, Inventory Control","54",,
"657","01-1997-0099","611","PPO","Pollution Prevention","55","WILL REPLACE CHLORINE DISINFECTION SYSTEM WITH ULTRA-     VIOLET DISINFECTION SYSTEM TWO YEARS BEFORE PLANNED.        ",
"657","01-1997-0099","611","ETM","Pollution Prevention/Equipment-Technology Modification","55","WILL REPLACE CHLORINE DISINFECTION SYSTEM WITH ULTRA-     VIOLET DISINFECTION SYSTEM TWO YEARS BEFORE PLANNED.        ",
"727","01-1997-0170","683","PBH","Public Health","56","#1: OIL FIRED INDUSTRIAL BOILERS RETROFITTED TO BURN      NATURAL GAS IN SUMMER OZONE SEASON.COST $172,000.             #2: CONSTRUCTION OF CLOSED-LOOP WASTEWATER RECYCLING      SYSTEM FOR FACILITY'S PROCESS WATER.COST $822,000.          ",
"727","01-1997-0170","683","PPO","Pollution Prevention","56","#1: OIL FIRED INDUSTRIAL BOILERS RETROFITTED TO BURN      NATURAL GAS IN SUMMER OZONE SEASON.COST $172,000.             #2: CONSTRUCTION OF CLOSED-LOOP WASTEWATER RECYCLING      SYSTEM FOR FACILITY'S PROCESS WATER.COST $822,000.          ",
"727","01-1997-0170","683","PRD","Pollution Reduction","56","#1: OIL FIRED INDUSTRIAL BOILERS RETROFITTED TO BURN      NATURAL GAS IN SUMMER OZONE SEASON.COST $172,000.             #2: CONSTRUCTION OF CLOSED-LOOP WASTEWATER RECYCLING      SYSTEM FOR FACILITY'S PROCESS WATER.COST $822,000.          ",
"727","01-1997-0170","683","PPM","Pollution Prevention/Process-Procedure Modification","56","#1: OIL FIRED INDUSTRIAL BOILERS RETROFITTED TO BURN      NATURAL GAS IN SUMMER OZONE SEASON.COST $172,000.             #2: CONSTRUCTION OF CLOSED-LOOP WASTEWATER RECYCLING      SYSTEM FOR FACILITY'S PROCESS WATER.COST $822,000.          ",
"729","01-1997-0172","685","PRD","Pollution Reduction","57","CONSTRUCTION OF PERMANENT HOUSEHOLD HAZARDOUS WASTE COLLEC- TION FACILITY AND IMPLEMENTATION OF QUARTERLY HOUSEHOLD HAZ WASTE COLLECTIONS. ALSO WILL BE IMPLEMENTING PAINT SWAP     PROGRAM AS PART OF COLLECTION PROGRAM SO THAT RESIDENTS CAN REUSE / RECYCLE WASTE PAINT.                                ",
"729","01-1997-0172","685","EEC","Pollution Prevention/Energy Efficiency-Conservation","57","CONSTRUCTION OF PERMANENT HOUSEHOLD HAZARDOUS WASTE COLLEC- TION FACILITY AND IMPLEMENTATION OF QUARTERLY HOUSEHOLD HAZ WASTE COLLECTIONS. ALSO WILL BE IMPLEMENTING PAINT SWAP     PROGRAM AS PART OF COLLECTION PROGRAM SO THAT RESIDENTS CAN REUSE / RECYCLE WASTE PAINT.                                ",
"729","01-1997-0172","685","RMS","Pollution Prevention/Raw Materials Substitution","57","CONSTRUCTION OF PERMANENT HOUSEHOLD HAZARDOUS WASTE COLLEC- TION FACILITY AND IMPLEMENTATION OF QUARTERLY HOUSEHOLD HAZ WASTE COLLECTIONS. ALSO WILL BE IMPLEMENTING PAINT SWAP     PROGRAM AS PART OF COLLECTION PROGRAM SO THAT RESIDENTS CAN REUSE / RECYCLE WASTE PAINT.                                ",
"729","01-1997-0172","685","IPR","Pollution Prevention/In-Process Recycling","57","CONSTRUCTION OF PERMANENT HOUSEHOLD HAZARDOUS WASTE COLLEC- TION FACILITY AND IMPLEMENTATION OF QUARTERLY HOUSEHOLD HAZ WASTE COLLECTIONS. ALSO WILL BE IMPLEMENTING PAINT SWAP     PROGRAM AS PART OF COLLECTION PROGRAM SO THAT RESIDENTS CAN REUSE / RECYCLE WASTE PAINT.                                ",
"729","01-1997-0172","685","PPO","Pollution Prevention","57","CONSTRUCTION OF PERMANENT HOUSEHOLD HAZARDOUS WASTE COLLEC- TION FACILITY AND IMPLEMENTATION OF QUARTERLY HOUSEHOLD HAZ WASTE COLLECTIONS. ALSO WILL BE IMPLEMENTING PAINT SWAP     PROGRAM AS PART OF COLLECTION PROGRAM SO THAT RESIDENTS CAN REUSE / RECYCLE WASTE PAINT.                                ",
"742","01-1997-0188","697","PPO","Pollution Prevention","58","RESPONDENT SHALL INSTALL AND OPERATE SOLVENT RECOVERY    SYSTEM REDUCING AMOUNT OF HAZARDOOUS WASTE STORED AND       DISPOSED OF.                                                ",
"742","01-1997-0188","697","IPR","Pollution Prevention/In-Process Recycling","58","RESPONDENT SHALL INSTALL AND OPERATE SOLVENT RECOVERY    SYSTEM REDUCING AMOUNT OF HAZARDOOUS WASTE STORED AND       DISPOSED OF.                                                ",
"754","01-1997-0200","708","AAD","Assessments and Audits","59","REMOVAL OF EIGHT HEATING OIL USTS FROM SERVICE AND THIRD    PARTY MULTI-MEDIA P2 AND EVIRO COMPLIANCD AUDIT OF THE TOWN.",
"754","01-1997-0200","708","PRD","Pollution Reduction","59","REMOVAL OF EIGHT HEATING OIL USTS FROM SERVICE AND THIRD    PARTY MULTI-MEDIA P2 AND EVIRO COMPLIANCD AUDIT OF THE TOWN.",
"759","01-1997-0205","713","PRD","Pollution Reduction","60","REDUCE VOC EMISSIONS FROM BULK TERMINAL GASOLINE STORAGE  TANKS BY MAKING VARIOUS PHYSICAL CHANGES TO ROOFS AND SEALS.",
"767","01-1997-0213","721","PPO","Pollution Prevention","61","REPLACEMENT OF SOLVENT-BASED PARTS DEGREASER WITH AN      AQUEOUS-BASED TECHNOLOGY.                                   ",
"767","01-1997-0213","721","PRD","Pollution Reduction","61","REPLACEMENT OF SOLVENT-BASED PARTS DEGREASER WITH AN      AQUEOUS-BASED TECHNOLOGY.                                   ",
"767","01-1997-0213","721","ETM","Pollution Prevention/Equipment-Technology Modification","61","REPLACEMENT OF SOLVENT-BASED PARTS DEGREASER WITH AN      AQUEOUS-BASED TECHNOLOGY.                                   ",
"772","01-1997-0220","726","PRD","Pollution Reduction","62","TOWN WILL CONSTRUCT A WET DETENTION BASIN NEXT TO THE     TOWN DPW GARAGE TO FILTER FOR ALL WATER RUNOFF TO A         TRIBUTARY OF THE RIVER. TOWN WILL ASO CONSTRUCT BUFFER.     ",
"775","01-1997-0223","729","IPR","Pollution Prevention/In-Process Recycling","63","RESPONDENT AGREED TO PURCHASE AND INSTALL AND OPERATE A     CLOSED LOOP NON-CONTACT COOLING WATER RECYCLING SYSTEM.     ",
"775","01-1997-0223","729","PPO","Pollution Prevention","63","RESPONDENT AGREED TO PURCHASE AND INSTALL AND OPERATE A     CLOSED LOOP NON-CONTACT COOLING WATER RECYCLING SYSTEM.     ",
"775","01-1997-0223","729","EEC","Pollution Prevention/Energy Efficiency-Conservation","63","RESPONDENT AGREED TO PURCHASE AND INSTALL AND OPERATE A     CLOSED LOOP NON-CONTACT COOLING WATER RECYCLING SYSTEM.     ",
"805","01-1997-0253","758","ERP","Environmental Restoration and Protection","64","OVERSEE REMOVAL OF USTS OWNED BY CITY AT CITY PUBLIC      SCHOOLS, CURRENTLY CONTAINING HEATING OIL, AND ASSESSMENT   OF SURROUNDING SOIL AFTER REMOVAL.                          ",
"805","01-1997-0253","758","AAD","Assessments and Audits","64","OVERSEE REMOVAL OF USTS OWNED BY CITY AT CITY PUBLIC      SCHOOLS, CURRENTLY CONTAINING HEATING OIL, AND ASSESSMENT   OF SURROUNDING SOIL AFTER REMOVAL.                          ",
"812","01-1998-0001","761","ERP","Environmental Restoration and Protection","65",,
"848","01-1998-0038","796","PPO","Pollution Prevention","66","SEVERAL PROJECTS OT FACILITY DESIGNED TO REDUCE AMOUNT OF AMMONIA STORED, USED, OR RELEASED DURING NORMAL OPERATION ORIN AN EMERGENCY.                                            ",
