"ACTIVITY_ID","CASE_NUMBER","ENF_CONCLUSION_ID","ENF_CONCLUSION_NMBR","ENF_CONCLUSION_ACTION_CODE","ENF_CONCLUSION_NAME","SETTLEMENT_LODGED_DATE","SETTLEMENT_ENTERED_DATE","SETTLEMENT_FY","PRIMARY_LAW","REGION_CODE","ACTIVITY_TYPE_CODE","FED_PENALTY_ASSESSED_AMT","STATE_LOCAL_PENALTY_AMT","SEP_AMT","COMPLIANCE_ACTION_COST","COST_RECOVERY_AWARDED_AMT"
"3862","02-1990-0129","2940","1","CDC","ONONDAGA COUNTY & COMMISSIONER OF DEPT DRANI & SAN","06/09/1999","08/11/2000","2000","CWA","02","JDC","624000","156000",,"125000",
"3873","02-1990-0140","2951","1","APO","CHAUTAUGUA HARDWARE CORP.","06/19/1990","02/19/1992","1992","EPCRA","02","AFR","70000",,,"0",
"1001","01-1999-0010","939","1","ACO","NEW SEABURY COMPANY LP","01/04/1999","01/04/1999","1999","CAA","01","AFR",,,,"0",
"1003","01-1999-0012","941","1","FCT","JOHN ZANARDI OIL CO INC","10/09/1998","03/05/1999","1999","RCRA","01","AFR","600",,,"0",
"1018","01-1999-0027","956","1","FCT","TALLYS TRUCK CENTER","11/12/1998","07/08/1999","1999","RCRA","01","AFR","600",,,"1000",
"1020","01-1999-0029","958","1","FCT","GOOSE RIVER GROCERY","12/08/1998","02/19/1999","1999","RCRA","01","AFR","1000",,,"1000",
"3916","02-1990-0191","2991","2","CDC","AMERICAN LOCKER GROUP ET AL","11/05/1996","01/10/1997","1997","CERCLA","02","JDC",,,,"0","1791060"
"3926","02-1990-0201","3000","1","APO","PACO PHARMACEUTICAL SERVICES INC","09/04/1990","03/25/1991","1991","EPCRA","02","AFR","14450",,,"0",
"3936","02-1990-0211","3010","1","APO","CARIBBEAN PETROLEUM CORP","09/20/1990","12/09/1991","1992","RCRA","02","AFR","35000",,,"0",
"3940","02-1990-0215","3013","1","APO","DIC AMERICAS, INC","09/28/1990","09/27/1995","1995","TSCA","02","AFR","85000",,,"0",
"3942","02-1990-0217","3015","1","APO","EVERFAIR INTERNATIONAL","09/25/1990","06/07/1991","1991","TSCA","02","AFR","40000",,,"0",
"4334","02-1991-0348","3313","1","APO","MERCK INC.","01/28/1991","08/13/1991","1991","EPCRA","02","AFR","19800",,,"0",
"4335","02-1991-0349","3314","1","APO","MOBIL I","05/13/1991","08/13/1993","1993","EPCRA","02","AFR","5000",,,"0",
"1000008381","02-2008-7978","1000000856","1","APO","Dickinson's Auto Service Inc. (SB)",,"06/20/2008","2008","RCRA","02","AFR","500",,,"0",
"2683","02-1987-0519","2245","1","CDC","SYNTEX (F.P.) INC","08/24/1988","08/24/1988","1988","CWA","02","JDC","200000",,,"0",
"551","01-1996-0122","510","1","CDC","BFI/DSI ROCKINGHAM","10/29/1996","10/29/1996","1997","CERCLA","01","JDC",,,,"12000000","80000"
"553","01-1996-0125","512","2","CDC","FIBRE LEATHER MFG","09/20/1996","12/11/1996","1997","CERCLA","01","JDC",,,,"0","190000"
"565","01-1997-0006","522","1","ACO","GARNETT","01/30/1997","01/30/1997","1997","CWA","01","AFR",,,,"0",
"567","01-1997-0008","524","1","APO","AYER, TOWN OF","03/09/1997","05/30/1997","1997","CWA","01","AFR","50000",,,"66000",
"266","01-1993-0015","241","1","CDC","PSC RESOURCES SUPERFUND SITE","01/31/1995","01/31/1995","1995","CERCLA","01","JDC",,,,"0","2581497"
"851","01-1998-0041","799","1","ACO","SNOW RIVER WOOD PRODUCTS","01/13/1998","01/13/1998","1998","FIFRA","01","AFR",,,,"0",
"3373","02-1988-0846","2637","1","APO","VAN DYK & COMPANY INC","09/28/1983","06/11/1984","1984","TSCA","02","AFR","30000",,,"0",
"3775","02-1990-0017","2893","1","APO","EASTMAN KODAK CO","12/28/1989","11/01/1990","1991","TSCA","02","AFR","6000",,,"0",
"3785","02-1990-0029","2901","1","APO","CENTRO DE SALUD FAMILIAR DE VEGA ALTA","12/27/1989","11/30/1992","1993","MWTA","02","AFR","1000",,,"0",
"3797","02-1990-0050","2905","1","APO","WESTCHESTER, COUNTY OF","01/22/1990","08/01/1991","1991","MPRSA","02","AFR","15200",,,"0",
"3810","02-1990-0069","2909","1","ACO","CERVECERIA INDIA INC","03/29/1990","03/29/1990","1990","CWA","02","AFR",,,,"0",
"4349","02-1991-0368","3325","1","APO","MERCK & CO, INC","09/30/1991","08/24/1992","1992","EPCRA","02","AFR","45000",,,"0",
"4090","02-1991-0098","3110","1","APO","VALENTE INDUSTRIES CORP","03/28/1991","12/12/1991","1992","CWA","02","AFR","20000",,,"0",
"4091","02-1991-0099","3111","1","APO","SYRACUSE TRANSPORT REFRIGERATION CO INC","03/21/1991","09/11/1991","1991","SDWA","02","AFR","5000",,,"0",
"1267","01-2000-0070","1174","1","ACO","FAIRFIELD HILLS","05/09/2000","05/09/2000","2000","SDWA","01","AFR",,,,"193",
"1982","02-1985-0082","1755","1","CDC","OYSTER BAY, TOWN OF","04/06/1988","04/06/1988","1988","CAA","02","JDC","44000",,,"0",
"2276","02-1986-0364","1948","1","APO","GREENWOOD LAKE UFS BOE","09/22/1986","03/30/1987","1987","TSCA","02","AFR","1500",,,"0",
"2360","02-1987-0040","2014","1","APO","NIAGARA FALLS MEMORIAL MEDICAL CENTER","02/04/1987","08/19/1987","1987","TSCA","02","AFR","2700",,,"0",
"2367","02-1987-0047","2021","1","APO","HORSEHEADS CENTRAL SCHOOL DIST","06/23/1986","01/13/1987","1987","TSCA","02","AFR","2000",,,"0",
"2788","02-1988-0086","2287","1","CDC","MAPLE SHADE, TWP OF & STATE NJ","04/28/1989","04/28/1989","1989","CWA","02","JDC","75000",,,"0",
"3084","02-1988-0543","2394","1","APO","SHARP ELECTRONICS CORP","07/15/1988","12/10/1993","1994","TSCA","02","AFR","685000",,,"0",
"2882","02-1988-0212","2302","1","APO","NEW YORK TELEPHONE","03/28/1988","10/25/1988","1989","TSCA","02","AFR","8580",,,"0",
"2889","02-1988-0219","2309","1","APO","CIBA-GEIGY CORP","03/31/1988","09/16/1988","1988","TSCA","02","AFR","50000",,,"0",
"2890","02-1988-0220","2310","1","APO","FRONTIER CHEMICAL WASTE PROCESS INC","03/30/1988","08/31/1988","1988","TSCA","02","AFR","21600",,,"0",
"2665","02-1987-0491","2229","1","PSA","**PROPOSED SETTLEMENT**",,,,"TSCA","02","AFR",,,,"0",
"291","01-1994-0011","263","1","CDC","ESTATE OF FRED TANZER","09/08/1994","09/20/2001","2001","CERCLA","01","JDC",,,,"0","142500"
"298","01-1994-0020","267","2","CDC","CONINUATION OF SETTLEMENT 1","09/29/1994","02/10/1995","1995","CERCLA","01","JDC",,,,"0","0"
"250","01-1992-0006","230","1","CDC","GEORGIA PACIFIC CORPORATION","11/02/1993","11/02/1993","1994","CAA","01","JDC","202000","188000",,"0",
"1284","01-2000-0088","1190","1","ACO","SOLAR VILLAGE ASSOCIATION","05/07/2000","05/07/2000","2000","SDWA","01","AFR",,,,"193",
"1285","01-2000-0089","1191","1","ACO","WINNSTOCK CONDOMINIUMS","05/07/2000","02/07/2001","2001","SDWA","01","AFR",,,,"193",
"1296","01-2000-0100","1202","1","ACO","FAIRFAX HEIGHTS WATER COMPANY","05/09/2000","05/09/2000","2000","SDWA","01","AFR",,,,"193",
"1297","01-2000-0102","1203","1","ACO","SHELDON WATER SYSTEM","05/09/2000","05/09/2000","2000","SDWA","01","AFR",,,,"193",
"1311","01-2000-0116","1217","1","ACO","INTERVALE AT STRATTON","05/09/2000","05/09/2000","2000","SDWA","01","AFR",,,,"193",
"279","01-1993-0028","251","2","CDC","SOUTH ESSEX SEWERAGE DISTRICT","04/08/1994","04/08/1994","1994","CERCLA","01","JDC",,,,"0",
"284","01-1994-0004","256","1","CDC","ALLENS MANUFACTURING COMPANY INC.","11/18/1993","11/18/1993","1994","CWA","01","JDC","20000",,,"0",
"1788","02-1978-0021","1561","1","CDC","GEORGIA-PACIFIC CORP","05/12/1981","05/12/1981","1981","CWA","02","JDC","75000",,,"0",
"3953","02-1990-0228","3026","1","APO","DALE AUTO SALES","09/27/1990","12/28/1992","1993","SDWA","02","AFR","4500",,,"0",
"3954","02-1990-0229","3027","1","APO","E.I. DUPONT COMPANY","09/28/1990","06/25/1991","1991","CWA","02","AFR","5000",,,"0",
"3973","02-1990-0279","3039","1","APO","CARIBBEAN PETROLEUM CORP","09/05/1990","12/09/1991","1992","CWA","02","AFR","5000",,,"0",
"3983","02-1990-0368","3044","1","ACO","JOSEPH CARMINE BONANNO","09/28/1990","09/28/1990","1990","CWA","02","AFR",,,,"0",
"3984","02-1990-0369","3045","1","ACO","JOSEPH CARMINE BONANNO","09/28/1990","09/28/1990","1990","CWA","02","AFR",,,,"0",
"4010","02-1990-0396","3061","1","AOC","KAUFFMAN & MINTEER, INC","08/16/1990","08/16/1990","1990","CERCLA","02","AFR",,,,"0","1"
"1340","01-2000-0145","1246","1","ACO","MILL HILL PARK (NORTHFIELD NH)","06/12/2000","06/12/2000","2000","SDWA","01","AFR",,,,"193",
"1344","01-2000-0149","1250","1","ACO","DANIELS LAKE DEVELOPMENT","06/12/2000","06/12/2000","2000","SDWA","01","AFR",,,,"193",
"1349","01-2000-0154","1255","1","APO","FULLER SYSTEMS INC","07/07/2000","11/14/2000","2001","FIFRA","01","AFR","4125",,,"0",
"1000007858","05-2008-0091","1000000805","1","NOD","High Level Industries - Foltz Notice of Determination",,"05/22/2008","2008","EPCRA","05","AFR",,,,"0",
"2338","02-1987-0018","1993","1","APO","DAVIS & GEK INC","09/27/1984","03/28/1988","1988","RCRA","02","AFR","3000",,,"0",
"2340","02-1987-0020","1995","1","APO","GENERAL INSTRUMENTS CORP","05/30/1984","01/21/1985","1985","RCRA","02","AFR","1750",,,"0",
"2345","02-1987-0025","1999","1","APO","RICO CHEMICAL CORP","09/28/1984","06/07/1988","1988","RCRA","02","AFR","17000",,,"0",
"2353","02-1987-0033","2007","1","APO","WASHINGTONVILLE","12/16/1986","05/05/1987","1987","TSCA","02","AFR","1460",,,"0",
"2502","02-1987-0259","2111","1","APO","CHRISTIAN BROTHERS ACADEMY BOARD OF TRUSTEES","06/12/1987","09/03/1987","1987","TSCA","02","AFR","1500",,,"0",
"123","01-1987-0004","117","1","CDC","KOPPERS CO., (BEASER EAST)","11/10/1987","11/10/1987","1988","CERCLA","01","JDC",,"0",,"0","800000"
"1730","01-2002-0093","48029","1","NOD","STONINGTON CT DPW","09/15/2003","09/15/2003","2003","CWA","01","AFR",,,,"0",
"2717","02-1987-0590","2260","1","CDC","CHAPELWOOD INDUSTRIES INC","09/10/1990","09/10/1990","1990","FIFRA","02","JDC","7480",,,"0",
"3239","02-1988-0710","2523","1","APO","NYSDMH PILGRIM PSYCHIATRIC CENTER","09/29/1983","11/26/1985","1986","TSCA","02","AFR","1000",,,"0",
"3660","02-1989-0367","2818","2","CDC","SIGMOND & PRESTO AND DOMINICK","11/10/1992","11/10/1992","1993","CERCLA","02","JDC",,,,"0","50000"
"1360","01-2000-0174","1263","1","FCT","LIMINGTON PLAZA","04/26/2000","02/14/2001","2001","RCRA","01","AFR","900",,,"0",
"1363","01-2000-0177","1266","1","FCT","WEST HARTFORD CITY  ROCKLEDGE COUNTRY CLUB","05/16/2000","08/23/2000","2000","RCRA","01","AFR","750",,,"1000",
"1387","01-2000-0201","1272","1","ACO","LOUIS ARAGI JR PROPERTY","07/24/2000","07/24/2000","2000","CWA","01","AFR",,,,"10000",
"1391","01-2000-0206","1275","1","ACO","CENTRAL LANDFILL","08/18/2000","08/18/2000","2000","CAA","01","AFR",,,,"40000",
"1395","01-2000-0210","46913","1","CDC","RHODE ISLAND RESOURCE RECOVERY CORP","12/20/2002","07/24/2003","2003","CAA","01","JDC","321000",,"5000000","6500000",
"1396","01-2000-0211","1277","1","APO","CONNECTICUT LIGHT & POWER CO","09/29/2000","09/29/2000","2000","TSCA","01","AFR","72930",,,"50000",
"1398","01-2000-0214","1279","1","ACO","PIMENTAL FARM","08/24/2000","08/24/2000","2000","CWA","01","AFR",,,,"1000",
"1401","01-2000-0217","1281","1","FCT","LIMESTONE IRVING","09/13/2000","01/24/2001","2001","RCRA","01","AFR","300",,,"0",
"3163","02-1988-0630","2463","1","APO","SUNSTREAM CONSTRUCTION & ENERGY SYSTEMS","09/29/1988","03/13/1989","1989","TSCA","02","AFR","700",,,"0",
"1474","01-2001-0016","1342","1","ACO","CARVILLE COMBING COMPANY","12/26/2000","12/26/2000","2001","CERCLA","01","AFR",,,,"0",
"1868","02-1983-0003","1635","1","CDC","J.T. BAKER CHEMICAL COMPANY","01/19/1984","01/19/1984","1984","CWA","02","JDC","10000",,,"0",
"4790","02-1993-0159","3698","1","APO","R & S BROTHERS INSULATION, INC.","09/03/1993","12/29/1993","1994","CAA","02","AFR","55000",,,"0",
"600045783","04-2007-2723","600009278","1","APO","ASG, INC.",,"06/05/2007","2007","TSCA","04","AFR","3080",,,"88",
"600045784","01-2007-9020","600009280","2","NOD","SANMINA SCI CORPORATION",,"05/16/2007","2007","EPCRA","01","AFR",,,,"1000",
"1825","02-1980-0007","1596","1","CDC","PRICE, CHARLES ET AL (PRICE'S","06/30/1988","06/30/1988","1988","CERCLA","02","JDC",,,,"0","17450767"
"1827","02-1980-0011","1597","1","CDC","NON-FERROUS PROCESSING","09/29/1982","09/29/1982","1982","CAA","02","JDC","12500",,,"0",
"1831","02-1981-0004","1599","1","CDC","TENNECO OIL","07/31/1981","07/31/1981","1981","CAA","02","JDC","5000",,,"0",
"1832","02-1981-0005","1600","1","CDC","CLEVELAND WRECKING CO","12/19/1983","12/19/1983","1984","CAA","02","JDC","7500",,,"0",
"4238","02-1991-0247","3234","1","CDC","MILES DIAGNOSTICS CORPORATION","10/01/1992","10/01/1992","1993","CERCLA","02","JDC",,,,"0","152891"
"692","01-1997-0134","646","1","ACO","GORHAM AUTO PARTS","07/01/1997","07/01/1997","1997","CWA","01","AFR",,,,"0",
"698","01-1997-0140","652","1","ACO","MIDWAY AUTO SALVAGE","07/01/1997","07/01/1997","1997","CWA","01","AFR",,,,"0",
"712","01-1997-0154","666","1","ACO","MOORES AUTO PARTS","07/01/1997","07/01/1997","1997","CWA","01","AFR",,,,"0",
"717","01-1997-0159","671","1","FCT","AMR COMBS","02/20/1997","04/25/1997","1997","RCRA","01","AFR","200",,,"0",
"3874","02-1990-0141","2952","1","APO","SPAULDING COMPOSITES","06/13/1990","02/15/1991","1991","EPCRA","02","AFR","125000",,,"0",
"4797","02-1993-0166","3705","1","APO","WILLIAM & ROBERT YOUNG, INC.","12/31/1992","03/01/1996","1996","CAA","02","AFR","7200",,,"0",
"4799","02-1993-0170","3708","2","CDC","CHAMPION CHEMICAL CO, IMPERIAL OIL, E. STEVENS & J","12/28/2000","02/26/2001","2001","CERCLA","02","JDC","75000",,,"0","2026546"
"4949","02-1994-0035","3834","1","APO","GENERAL ELECTRIC COMPANY","12/30/1993","06/29/1994","1994","TSCA","02","AFR","34600",,,"0",
"3518","02-1989-0213","2719","1","APO","WISE DIE CASTING CORP","06/29/1989","09/27/1989","1989","CWA","02","AFR","5500",,,"0",
"3910","02-1990-0185","2984","1","CDC","TEMPCON CORP., ET. AL","03/07/1994","03/07/1994","1994","CERCLA","02","JDC",,,,"0","125000"
"3877","02-1990-0144","2955","1","APO","C. M. THOMPSON","06/26/1990","10/15/1990","1991","EPCRA","02","AFR","2500",,,"0",
"4265","02-1991-0275","3258","1","APO","DUNLOP TIRE CORP","09/12/1991","12/18/1991","1992","CWA","02","AFR","1000",,,"0",
"77","01-1984-0010","72","1","CDC","ALTO-TRONICS CORPORATION","03/04/1985","03/04/1985","1985","CWA","01","JDC","75000","0",,"0","0"
"86","01-1984-0019","79","1","CDC","LAMOTTE TRUCKING","06/16/1986","06/16/1986","1986","CAA","01","JDC","35000",,,"0",
"88","01-1984-0021","58653","2","CDC","METROPOLITAN DISTRICT COMMISSION, ET AL","06/30/2005","06/30/2005","2005","CWA","01","JDC",,,,"300000000",
"7286","02-2000-1003","6012","1","ACO","TOMKEN PLATING",,"03/03/2000","2000","CAA","02","AFR",,,,"0",
"7287","02-2000-1009","6013","1","ACO","EVOD ACQUISTION LLC",,"02/10/2000","2000","CAA","02","AFR",,,,"0",
"7293","02-2000-1019","6019","1","ACO","AVALA CONTRACTING COMPANY",,"03/17/2000","2000","CAA","02","AFR",,,,"0",
"7295","02-2000-1021","6021","1","ACO","PAL ENVIRONMENTAL",,"04/04/2000","2000","CAA","02","AFR",,,,"0",
"129","01-1987-0010","124","1","CDC","MICROFAB, INC.","08/27/1990","08/27/1990","1990","CWA","01","JDC","875000","0",,"0","0"
"130","01-1987-0011","126","1","CDC","WEBSTER / DUDLEY, TOWNS OF","10/24/1988","10/24/1988","1989","CWA","01","JDC","31500","0",,"0","0"
"242","01-1991-0023","223","1","CDC","DEC-TAM CORPORATION ET AL.","01/29/1996","01/29/1996","1996","CAA","01","JDC","19450",,,"0",
"164","01-1988-0026","161","3","CDC","CROWN ROLL LEAF & GILLIS TIVEY","12/13/1991","12/13/1991","1992","CERCLA","01","JDC",,,,"0",
"477","01-1996-0046","441","1","CDC","DYTEX CHEMICAL COMPANY","12/19/1996","12/19/1996","1997","CERCLA","01","JDC",,,,"0","39286"
"732","01-1997-0177","688","1","CDC","YAWORKSI LAGOON","06/02/2000","08/11/2000","2000","CERCLA","01","JDC",,,,"0","3000000"
"1942","02-1985-0040","1712","5","CDC","FARBER, BENJAMIN V PUREX ET AL","01/23/1997","01/23/1997","1997","CERCLA","02","JDC",,,,"0","750000"
"1779","02-1978-0012","1558","2","CDC","OCCIDENTAL CHEM CORP, ET AL","01/14/1997","01/14/1997","1997","CERCLA","02","JDC",,,,"20000000",
"1244","01-2000-0046","1151","1","ACO","SCOTT/KOBYLUCK","04/14/2000","04/14/2000","2000","CWA","01","AFR",,,,"125000",
"1317","01-2000-0122","1223","1","ACO","CRESTVIEW CONDOMINIUM ASSOCIATION","06/12/2000","06/12/2000","2000","SDWA","01","AFR",,,,"193",
"2610","02-1987-0424","2182","1","PSA","**PROPOSED SETTLEMENT**",,,,"TSCA","02","AFR",,,,"0",
"2621","02-1987-0436","2193","1","APO","ROOSEVELT UFSD BOE","09/10/1987","08/31/1988","1988","TSCA","02","AFR","3000",,,"0",
"496","01-1996-0066","458","1","APO","US NAVAL UNDERSEA WARFARE CENTER DIVISION","09/16/1996","09/16/1996","1996","RCRA","01","AFR","80625",,,"0",
"502","01-1996-0072","463","1","ACO","WARREN, TOWN OF","09/23/1996","09/23/1996","1996","CWA","01","AFR",,,,"0",
"505","01-1996-0075","466","1","ACO","WORCESTER, CITY OF","09/26/1996","09/26/1996","1996","CWA","01","AFR",,,,"0",
"508","01-1996-0078","469","1","APO","NORTH ATTLEBOROUGH, TOWN OF","09/29/1996","11/27/1996","1997","CWA","01","AFR","30000",,,"0",
"514","01-1996-0084","474","1","ACO","NEWTON, TOWN OF","04/09/1996","04/09/1996","1996","CWA","01","AFR",,,,"0",
"515","01-1996-0085","475","1","ACO","NEEDHAM, TOWN OF","04/09/1996","04/09/1996","1996","CWA","01","AFR",,,,"0",
"519","01-1996-0089","479","1","ACO","WESTFORD ANODIZING CORP","07/02/1996","07/02/1996","1996","CWA","01","AFR",,,,"0",
"527","01-1996-0097","486","1","APO","LYNNEFIELD, TOWN OF","09/25/1996","12/19/1996","1997","CWA","01","AFR","36000",,,"60000",
"814","01-1998-0003","763","1","ACO","CHASE PAINT COMPANY","11/13/1997","11/13/1997","1998","CERCLA","01","AFR",,,,"0",
"225","01-1991-0001","208","1","CDC","WILDWOOD CONSERVATION CORP.","10/09/1991","10/09/1991","1992","CERCLA","01","JDC","0","0",,"0","2666195"
"1724","01-2002-0086","45680","1","NOD","HINESBURG VT DPW",,"04/09/2003","2003","RCRA","01","AFR",,,,"0",
"4749","02-1993-0113","3664","1","APO","OCCIDENTAL CHEMICAL CORPORATION","06/29/1993","09/10/1993","1993","EPCRA","02","AFR","5215",,,"0",
"4750","02-1993-0114","3665","1","APO","DIAMOND COMMUNICATION PRODUCTS, INC.","06/02/1993","03/23/1994","1994","EPCRA","02","AFR","76500",,,"0",
"4752","02-1993-0116","3667","1","APO","1833 NOSTRAND AVENUE CORPORATION","06/18/1993","07/18/1996","1996","RCRA","02","AFR","5900",,,"25000",
"4755","02-1993-0119","3670","1","APO","R & F ALLOY WIRES, INC.","02/19/1993","09/28/1994","1994","EPCRA","02","AFR","25000",,,"0",
"4757","02-1993-0121","3672","1","APO","STERLING PHARMACEUTICALS, INC.","06/30/1993","08/13/1993","1993","RCRA","02","AFR","17000",,,"0",
"2627","02-1987-0445","2196","1","CDC","NYCHRA AND NYCDGS","08/31/1988","08/31/1988","1988","CAA","02","JDC","200000",,,"0",
"2633","02-1987-0453","2202","1","APO","CENTRAL SQUARE BOE","09/24/1987","03/14/1988","1988","TSCA","02","AFR","3300",,,"0",
"2641","02-1987-0461","2210","1","APO","ALPHA METALS INC","09/18/1987","02/19/1988","1988","TSCA","02","AFR","9000",,,"0",
"2646","02-1987-0467","2215","1","APO","DALTON SCHOOL","09/14/1987","03/28/1988","1988","TSCA","02","AFR","1200",,,"0",
"2655","02-1987-0481","2223","1","APO","HILO PRODUCTS INC","09/23/1987","05/10/1988","1988","FIFRA","02","AFR","240",,,"0",
"3231","02-1988-0702","2515","1","APO","MCGRAW-EDISON COMPANY","04/07/1981","06/23/1981","1981","TSCA","02","AFR","1350",,,"0",
"7129","02-1999-7503","5888","1","APO","LEMILT'S PETROLEUM","12/30/1998","07/16/1999","1999","RCRA","02","AFR","30000",,,"30000",
"6411","02-1998-0055","5203","1","ACO","PRASA - CAROLINA INDUSTRIAL P.S. - CAROLINA WWTP",,"12/23/1997","1998","CWA","02","AFR",,,,"1000",
"6610","02-1998-0260","5398","1","AOC","CHEMICAL LEAMAN TANK LINES, INC.","04/20/1998","07/02/1998","1998","CERCLA","02","AFR",,,,"0","1717377"
"4734","02-1993-0095","3650","1","APO","CITY OF OGDENSBURG","06/07/1993","08/02/1993","1993","CWA","02","AFR","1000",,,"0",
"2209","02-1986-0288","1895","1","CDC","SUNY (OSWEGO) BD OF TRUSTEES","11/30/1987","11/30/1987","1988","CAA","02","JDC","20000",,,"0",
"2215","02-1986-0294","1901","1","APO","GLOBE INTERNATIONAL INC","02/14/1985","06/14/1985","1985","TSCA","02","AFR","7000",,,"0",
"2515","02-1987-0274","2123","1","APO","ONEIDA CITY BOE","03/21/1986","09/29/1986","1986","TSCA","02","AFR","1720",,,"0",
"2517","02-1987-0276","2125","1","APO","NORTH HALEDON SD","09/21/1984","06/14/1985","1985","TSCA","02","AFR","4000",,,"0",
"2896","02-1988-0226","2316","1","APO","SPECTRASERV INC","03/29/1988","09/30/1988","1988","RCRA","02","AFR","9200",,,"0",
"4424","02-1992-0073","3392","1","APO","IBM","03/20/1992","06/25/1992","1992","TSCA","02","AFR","7650",,,"0",
"4768","02-1993-0132","3683","1","APO","DELMARK PLANK & WEMCO CORP.","06/30/1993","09/20/1993","1993","SDWA","02","AFR","4500",,,"0",
"4777","02-1993-0142","3687","1","APO","AMERICAN LOCKER GROUP INC.","08/04/1993","12/02/1993","1994","CWA","02","AFR","7500",,,"0",
"4876","02-1993-0250","3787","1","APO","ISLAND CAN CORPORATION","09/30/1993","09/30/1994","1994","EPCRA","02","AFR","18142",,,"0",
"4880","02-1993-0254","3789","1","AOC","RICHARDSON HILL LANDFILL","09/22/1993","09/22/1993","1993","CERCLA","02","AFR",,,,"0","1"
"3646","02-1989-0353","2805","1","CDC","M.GENZALE PLATING, INC.","11/24/1992","11/24/1992","1993","CERCLA","02","JDC","40000",,,"0",
"4741","02-1993-0103","3656","1","CDC","SPAULDING COMPOSITES COMP, INC","07/14/1994","07/14/1994","1994","CERCLA","02","JDC",,,,"0","4200000"
"4742","02-1993-0104","3657","1","CDC","CARBORUNDUM CO., ET AL","03/30/1994","11/29/1994","1995","CERCLA","02","JDC",,,,"0","1960000"
"4306","02-1991-0319","3288","1","APO","CANISIUS COLLEGE OF BUFFALO, INC","09/20/1991","12/31/1992","1993","TSCA","02","AFR","45720",,,"0",
"4314","02-1991-0327","3295","1","APO","NIAGARA FRONTIER TRANSPORTATION AUTHORITY","09/24/1991","06/09/1992","1992","TSCA","02","AFR","43900",,,"0",
"4426","02-1992-0075","3394","1","APO","PFAUDLER COMPANIES INC","03/30/1992","05/08/1995","1995","TSCA","02","AFR","76550",,,"0",
"4179","02-1991-0187","3185","2","CDC","INTERNATIONAL PAPER (NEPERA)","11/08/1996","11/08/1996","1997","CERCLA","02","JDC",,,,"0","98500"
"4185","02-1991-0193","3195","1","APO","BELMONT METALS INC","05/31/1991","09/17/1992","1992","EPCRA","02","AFR","90000",,,"0",
"1141","01-1999-0155","1066","1","APO","HAMILTON STANDARD UTC","09/30/1999","11/19/1999","2000","CWA","01","AFR","24487",,,"0",
"637","01-1997-0079","591","1","APO","ELECTRIC BOAT CORPORATION","06/18/1997","06/29/1998","1998","TSCA","01","AFR","13600",,,"12000",
"676","01-1997-0118","630","1","APO","ROBERT DABKOWSKI","06/30/1997","08/01/1997","1997","CWA","01","AFR","10000",,,"8000",
"680","01-1997-0122","634","1","ACO","APOLLO INC","06/26/1997","06/26/1997","1997","CWA","01","AFR",,,,"0",
"681","01-1997-0123","635","1","ACO","BELLEROSE USED CAR PARTS","07/01/1997","07/01/1997","1997","CWA","01","AFR",,,,"0",
"824","01-1998-0014","772","1","FCT","PORTOS TIRE SERVICE INC","10/21/1997","12/11/1998","1999","RCRA","01","AFR","300",,,"0",
"830","01-1998-0020","778","1","FCT","QUINCY FIRE DEPARTMENT","11/04/1997","03/04/1999","1999","RCRA","01","AFR","1200",,,"1000",
